outer_repeat,outer_fold,model,C,l1_ratio,mean_inner_log_loss,se_inner_log_loss,mean_n_selected
1,3,lasso,10.0,,0.5664724771827545,0.033881433237407506,9.8
1,3,lasso,0.5,,0.5691613113934335,0.02151093432332663,8.0
1,3,lasso,0.2,,0.6004411123659634,0.012398998075903648,5.6
1,3,lasso,0.1,,0.6026855086478988,0.007819175491766733,0.8
1,3,lasso,0.05,,0.6037252493412122,0.0066975271714491665,0.0
1,3,lasso,0.02,,0.6110471550364215,0.005717125741943537,0.0
1,3,lasso,0.01,,0.6131124213709496,0.004089668647945017,0.0
1,3,lasso,0.005,,0.6149537878126857,0.00512195880006243,0.0
1,3,lasso,0.001,,0.6149607723778497,0.005118820757982608,0.0
1,3,lasso,0.002,,0.6149609525597529,0.005118783976302952,0.0
1,4,ridge,0.2,,0.5138045128991616,0.0214344055865113,10.0
1,4,ridge,0.5,,0.5166948363322699,0.026089258175450977,10.0
1,4,ridge,0.1,,0.5181524145096394,0.017931539814810785,10.0
1,4,ridge,1.0,,0.5214452038961495,0.028868374798353646,10.0
1,4,ridge,2.0,,0.5257088094748472,0.030792368949365864,10.0
1,4,ridge,5.0,,0.5293159277245726,0.03224511608118034,10.0
1,4,ridge,0.05,,0.5296414980413342,0.015056693408778415,10.0
1,4,ridge,10.0,,0.5307742576940606,0.03279310876871804,10.0
1,4,ridge,0.02,,0.5521505196264149,0.012102313749965123,10.0
1,4,ridge,0.01,,0.5692394707537471,0.010295617522023943,10.0
1,4,ridge,0.005,,0.5825671496191849,0.009030339802840189,10.0
1,4,ridge,0.002,,0.5933202977002702,0.008180566487906304,10.0
1,4,ridge,0.001,,0.5975672944580299,0.007907060350749909,10.0
1,4,elastic_net,0.5,0.5,0.5111547618218248,0.022575067786278907,8.2
1,4,elastic_net,0.5,0.8,0.5115722225066921,0.021183118867067877,7.8
1,4,elastic_net,0.5,1.0,0.5121955367170353,0.020311884562201853,7.2
1,4,elastic_net,1.0,1.0,0.512224930552159,0.024782930970096477,7.8
1,4,elastic_net,1.0,0.8,0.5128377011241768,0.025373628378272076,8.2
1,4,elastic_net,0.5,0.2,0.5132154377754835,0.024466316724390737,9.4
1,4,elastic_net,0.2,0.2,0.5132988737049545,0.01904859336557086,8.8
1,4,elastic_net,1.0,0.5,0.5148970123790704,0.02653918300792977,9.4
1,4,elastic_net,2.0,1.0,0.5177644610417925,0.028271505394323923,9.0
1,4,elastic_net,0.2,0.5,0.5182968503989123,0.016071921642231965,7.4
1,4,elastic_net,1.0,0.2,0.5184680126530018,0.027937204717922322,10.0
1,4,elastic_net,2.0,0.8,0.5189949709761417,0.028763120315386827,9.4
1,4,elastic_net,2.0,0.5,0.5213037869080674,0.029469906597104998,9.8
1,4,elastic_net,0.1,0.2,0.5236382230007344,0.015266486301424466,8.2
1,4,elastic_net,2.0,0.2,0.5238208930982097,0.030235976025719393,10.0
1,4,elastic_net,5.0,1.0,0.5253791426928637,0.031107865367609826,9.8
1,4,elastic_net,5.0,0.8,0.5261402250587033,0.03133436812771869,9.8
1,4,elastic_net,5.0,0.5,0.527312672129175,0.03168236943622361,9.8
1,4,elastic_net,5.0,0.2,0.5284863852213402,0.032021531321831144,10.0
