bootstrap,C,apparent_AUC,test_AUC,optimism_AUC,apparent_AUPRC,test_AUPRC,optimism_AUPRC,apparent_Brier,test_Brier,optimism_Brier,apparent_Log loss,test_Log loss,optimism_Log loss
102,0.02,0.7529860650298607,0.7040846750149076,0.04890139001495308,0.608111187358703,0.5726548137856913,0.03545637357301168,0.1626685681124999,0.1875795201920973,-0.024910952079597398,0.4998921009057303,0.5566280757922879,-0.05673597488655763
103,0.005,0.7260358688930116,0.7592426952892068,-0.03320682639619521,0.5200127113477616,0.5753446752690969,-0.055331963921335325,0.19057705406225048,0.19655614946801922,-0.005979095405768742,0.5666591085174308,0.5793337055391289,-0.012674597021698042
104,0.05,0.7405737704918032,0.7243589743589743,0.016214796132828835,0.6133571070431265,0.5704886013298981,0.04286850571322842,0.18980179689229912,0.1794501566839916,0.010351640208307505,0.5595480828786845,0.5394812290987016,0.020066853779982963
105,0.02,0.7814814814814814,0.7470184853905785,0.034462996090902975,0.5826590821155349,0.5913571199498936,-0.00869803783435874,0.16547616720113006,0.18117675565662725,-0.015700588455497183,0.505037504221693,0.5405075440956932,-0.035470039874000214
106,0.1,0.7774381772714644,0.7227191413237926,0.0547190359476718,0.6753781079646092,0.6115971165785039,0.06378099138610527,0.17135620346868877,0.17297913449348484,-0.001622931024796076,0.5159142167345923,0.5269811778815457,-0.011066961146953491
107,0.05,0.7743219339622641,0.74448419797257,0.02983773598969408,0.5915562629197242,0.5694319313395544,0.022124331580169798,0.17314789953019855,0.17499437452437544,-0.0018464749941768943,0.5207053666891669,0.5264756603122488,-0.005770293623081901
108,0.1,0.8352857142857142,0.7546213476446034,0.08066436664111076,0.7428561643868444,0.6010493580262671,0.1418068063605773,0.14960124027253166,0.16765951322780265,-0.018058272955270988,0.46481572380668984,0.5068200137581308,-0.042004289951440954
109,0.1,0.7651386530843237,0.7377757901013715,0.027362862982952207,0.6845714314968507,0.5903564548824071,0.09421497661444367,0.16883167297712068,0.17161204354450033,-0.0027803705673796475,0.512705171741907,0.5195894319189378,-0.00688426017703081
110,0.2,0.8683640303358614,0.7471675611210494,0.12119646921481197,0.743033754459649,0.5955887967047127,0.14744495775493638,0.1043087247113056,0.1735943891471669,-0.0692856644358613,0.3449386337415402,0.5263582946510362,-0.18141966090949602
111,0.05,0.7888982338099244,0.74448419797257,0.04441403583735437,0.7253831984193749,0.6154808807554436,0.10990231766393133,0.1714043563661195,0.1729708699556074,-0.0015665135894878945,0.5209506316445692,0.5225275347726424,-0.001576903128073126
112,0.1,0.8117120106171202,0.7379248658318425,0.0737871447852777,0.6304950013017695,0.5675758234414856,0.06291917786028389,0.13878033455073052,0.17274483797832027,-0.03396450342758975,0.43487974532111123,0.5190076768570034,-0.08412793153589221
113,0.05,0.7782106782106782,0.7024448419797258,0.07576583623095245,0.6651204460552459,0.5665107131852604,0.09860973286998553,0.17153887343875956,0.17957559528722356,-0.00803672184846399,0.5183337212857009,0.5392627245714229,-0.020929003285722003
114,0.02,0.7467203339296363,0.7353905784138342,0.011329755515802176,0.5734410592457732,0.5788860627586239,-0.00544500351285071,0.1825191652670017,0.18305542633361865,-0.0005362610666169443,0.5447091335991672,0.5470186642210785,-0.0023095306219113043
115,0.1,0.7880844645550528,0.7286821705426356,0.059402294012417145,0.6300543795278282,0.5448939798945439,0.08516039963328426,0.16259284344210723,0.1754173967031668,-0.01282455326105958,0.49259888918717537,0.5217528911629498,-0.02915400197577439
116,0.2,0.8565162907268171,0.7340488968395946,0.1224673938872225,0.6990888696886758,0.547809079629834,0.15127979005884173,0.13400173315751562,0.1755723500612091,-0.041570616903693486,0.4153792338990786,0.5234843600680619,-0.10810512616898327
117,0.05,0.7961504811898513,0.7154144305307096,0.08073605065914169,0.6745344782569268,0.5661871883386076,0.10834728991831921,0.1643773001455627,0.17867950700073743,-0.01430220685517472,0.4983252433270313,0.5350559482249005,-0.036730704897869226
118,0.2,0.8011437908496732,0.7447823494335123,0.05636144141616095,0.6543460319232371,0.6037147135933899,0.05063131832984724,0.13874554265183298,0.1688198000480359,-0.030074257396202925,0.43316788673456774,0.5107761444724767,-0.07760825773790891
